iter	RMSE	MAP:top=5
663	0.7001002756	0.7203086265
664	0.7000868014	0.7203286365
665	0.700024466	0.7205820966
666	0.6999724595	0.7210706742
667	0.6999156382	0.7213207993
668	0.6998475095	0.7217885332
669	0.6997956398	0.7221676116
670	0.6997549537	0.7223276916
671	0.6996927623	0.7223910566
672	0.6996610192	0.7224623423
673	0.6995922741	0.7220938247
674	0.6995505384	0.7218428659
675	0.6994964721	0.722146073
676	0.6994052668	0.7223678506
677	0.6993422981	0.7224684565
678	0.6993079298	0.722470124
679	0.69927287	0.7230370741
680	0.6992086407	0.7225964371
681	0.6991701659	0.7227098271
682	0.6990860945	0.7227548496
683	0.6990298055	0.7229516147
684	0.6989749472	0.7226286754
685	0.6989336798	0.7227987605
686	0.698903422	0.7226036629
687	0.6988587337	0.7226236729
688	0.6988142828	0.7226103329
689	0.6987690046	0.7228254405
690	0.6987021916	0.722950503
691	0.6986670498	0.7227687455
692	0.6985973387	0.722653688
693	0.6985449092	0.7227281696
694	0.6984613693	0.7227131621
695	0.6983958144	0.7227231671
696	0.6983697008	0.7228799122
697	0.6983039549	0.7232039631
698	0.6982634727	0.7234757657
699	0.698201297	0.7232298093
700	0.6981705836	0.7230980768
701	0.6981249226	0.7232727475
702	0.6980765166	0.7231026624
703	0.6980123425	0.72343783
704	0.6979560146	0.7233561225
705	0.6979058015	0.7234689567
706	0.6978645663	0.7235306542
707	0.6978301088	0.7235339892
708	0.6978036313	0.7237641043
709	0.6977591208	0.7240050581
710	0.697707217	0.7240473014
711	0.6976521046	0.7241315102
712	0.6975880904	0.7234757657
713	0.6975449112	0.7238113501
714	0.6974785753	0.7239956089
715	0.6974250722	0.724425824
716	0.6973462048	0.7245925741
717	0.6972962376	0.7248993941
718	0.6972355902	0.7250757323
719	0.6972145888	0.7252007948
720	0.6971500849	0.7253540659
721	0.697077157	0.7253373909
722	0.6970045533	0.7253485076
723	0.6969426775	0.7254760714
724	0.696881017	0.7254852426
725	0.6968213949	0.7257453727
726	0.6967961308	0.7256091935
727	0.6967500519	0.7254757935
728	0.6966894849	0.7257692735
729	0.6966353192	0.725550831
730	0.696592447	0.7262345061
731	0.6965452676	0.726335251
732	0.6965120286	0.7267554611
733	0.6964547094	0.726678756
734	0.6963868005	0.7271356512
735	0.6963239851	0.727226252
736	0.6962783766	0.7276081096
737	0.6962318003	0.7277709688
738	0.6961794976	0.7279031182
739	0.6961081263	0.7275362681
740	0.6960310508	0.7279852426
741	0.6959736896	0.7283249958
742	0.695915016	0.7287410372
743	0.695855854	0.7290111723
744	0.6958247282	0.7289444722
745	0.6957760411	0.7294238786
746	0.6957242241	0.7290607804
747	0.6956886485	0.7289632316
748	0.6956476626	0.72922225
749	0.6956072823	0.7293406425
750	0.6955723789	0.7296124451
751	0.6955514237	0.7296007726
752	0.6955340446	0.7294682063
753	0.6955042745	0.7297477906
754	0.6954553373	0.7299720694
755	0.6954119075	0.7302905619
756	0.6953761225	0.730467317
757	0.6953109887	0.730467317
758	0.6952558909	0.7307079929
759	0.6952386056	0.7305979379
760	0.6951893752	0.7306412929
761	0.6951221729	0.7305462453
762	0.6950672788	0.7305787616
763	0.6950042378	0.7306021066
764	0.6949733552	0.7306588016
765	0.694909574	0.7305745929
766	0.6948343865	0.7308080429
767	0.6947755809	0.7309080929
768	0.6947485914	0.730978128
769	0.694700081	0.7308413929
770	0.6946508397	0.731151548
771	0.6945923472	0.7307063254
772	0.6945207454	0.7306312879
773	0.6944822157	0.7307496804
774	0.6944801736	0.7307496804
775	0.6944397168	0.7305379078
776	0.6943956294	0.7307113279
777	0.694345132	0.7308113779
778	0.6943089777	0.7309802123
779	0.6942667108	0.7310269023
780	0.6942459839	0.7310018898
781	0.6942070887	0.7312920349
782	0.69415531	0.7314104274
783	0.6941221779	0.7310218998
784	0.6940538749	0.7312520149
785	0.6939886799	0.7312736924
786	0.6939585717	0.7314004224
787	0.6939130277	0.7319040076
788	0.6938650724	0.7321111945
789	0.6938209674	0.7324847146
790	0.6937763096	0.732673698
791	0.6937232815	0.7325553054
792	0.6936768153	0.7331050247
793	0.69362559	0.7332870602
